Pokemon,tipos_en_moves,Cluster_P2
Altaria,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Water Water Water Electric Electric Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Rock Rock Rock Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Fairy Fairy Fairy,0
Amaura,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Water Water Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel,2
Ambipom,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Water Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Grass Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel,4
Amoonguss,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Fighting Fighting Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Ground Ground Flying Flying Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Steel Steel,17
Ampharos,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Water Water Water Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Steel Steel Steel,10
Anorith,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Water Water Water Water Water Electric Electric Electric Grass Grass Ice Ice Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Steel Steel Steel Steel,1
Arbok,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Water Water Water Water Electric Electric Electric Grass Grass Grass Grass Ice Ice Ice Ice Ice Fighting Fighting Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel,3
Arcanine,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Electric Electric Electric Electric Grass Grass Grass Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Flying Flying Flying Psychic Psychic Psychic Psychic Bug Bug Rock Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Fairy,13
Arceus,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel,5
Arceus-Bug,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel,5
Arceus-Dark,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel,5
Arceus-Dragon,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel,5
Arceus-Electric,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel,5
Arceus-Fairy,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel,5
Arceus-Fighting,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel,5
Arceus-Fire,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel,5
Arceus-Flying,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel,5
Arceus-Ghost,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel,5
Arceus-Grass,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel,5
Arceus-Ground,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel,5
